FL_Test | INFO flwr 2024-04-22 18:27:48,539 | app.py:150 | Starting Flower server, config: num_rounds=3, no round_timeout
FL_Test | INFO flwr 2024-04-22 18:27:48,548 | app.py:163 | Flower ECE: gRPC server running (3 rounds), SSL is disabled
FL_Test | INFO flwr 2024-04-22 18:27:48,548 | server.py:92 | [INIT]
FL_Test | INFO flwr 2024-04-22 18:27:48,548 | server.py:279 | Requesting initial parameters from one random client
FL_Test | INFO flwr 2024-04-22 18:28:57,092 | server.py:285 | Received initial parameters from one random client
FL_Test | INFO flwr 2024-04-22 18:28:57,093 | server.py:94 | Evaluating initial global parameters
FL_Test | INFO flwr 2024-04-22 18:28:57,093 | server.py:110 | 
FL_Test | INFO flwr 2024-04-22 18:28:57,094 | server.py:111 | [ROUND 1]
FL_Test | INFO flwr 2024-04-22 18:30:28,367 | server.py:224 | configure_fit: strategy sampled 3 clients (out of 3)
FL_Test | INFO flwr 2024-04-22 18:30:29,081 | server.py:238 | aggregate_fit: received 3 results and 0 failures
FL_Test | INFO flwr 2024-04-22 18:30:29,082 | server.py:176 | configure_evaluate: strategy sampled 3 clients (out of 3)
FL_Test | INFO flwr 2024-04-22 18:30:29,168 | server.py:190 | aggregate_evaluate: received 3 results and 0 failures
FL_Test | INFO flwr 2024-04-22 18:30:29,169 | server.py:110 | 
FL_Test | INFO flwr 2024-04-22 18:30:29,169 | server.py:111 | [ROUND 2]
FL_Test | INFO flwr 2024-04-22 18:30:29,169 | server.py:224 | configure_fit: strategy sampled 3 clients (out of 3)
FL_Test | INFO flwr 2024-04-22 18:30:29,878 | server.py:238 | aggregate_fit: received 3 results and 0 failures
FL_Test | INFO flwr 2024-04-22 18:30:29,878 | server.py:176 | configure_evaluate: strategy sampled 3 clients (out of 3)
FL_Test | INFO flwr 2024-04-22 18:30:29,978 | server.py:190 | aggregate_evaluate: received 3 results and 0 failures
FL_Test | INFO flwr 2024-04-22 18:30:29,978 | server.py:110 | 
FL_Test | INFO flwr 2024-04-22 18:30:29,978 | server.py:111 | [ROUND 3]
FL_Test | INFO flwr 2024-04-22 18:30:29,979 | server.py:224 | configure_fit: strategy sampled 3 clients (out of 3)
FL_Test | INFO flwr 2024-04-22 18:30:30,843 | server.py:238 | aggregate_fit: received 3 results and 0 failures
FL_Test | INFO flwr 2024-04-22 18:30:30,844 | server.py:176 | configure_evaluate: strategy sampled 3 clients (out of 3)
FL_Test | INFO flwr 2024-04-22 18:30:30,983 | server.py:190 | aggregate_evaluate: received 3 results and 0 failures
FL_Test | INFO flwr 2024-04-22 18:30:30,983 | server.py:487 | 
FL_Test | INFO flwr 2024-04-22 18:30:30,983 | server.py:488 | [SUMMARY]
FL_Test | INFO flwr 2024-04-22 18:30:30,984 | server.py:489 | Run finished 3 rounds in 93.89s
FL_Test | INFO flwr 2024-04-22 18:30:30,985 | server.py:492 | History (loss, distributed):
FL_Test | INFO flwr 2024-04-22 18:30:30,985 | server.py:494 | 	('\tround 1: 15.037011782328287\n'
FL_Test | INFO flwr 2024-04-22 18:30:30,985 | server.py:494 | 	 '\tround 2: 15.037011782328287\n'
FL_Test | INFO flwr 2024-04-22 18:30:30,985 | server.py:494 | 	 '\tround 3: 15.037011782328287\n')History (metrics, distributed, fit):
FL_Test | INFO flwr 2024-04-22 18:30:30,985 | server.py:494 | 	{'Accuracy': [(1, 0.0), (2, 0.0), (3, 0.0)],
FL_Test | INFO flwr 2024-04-22 18:30:30,985 | server.py:494 | 	 'F1_Score': [(1, 0.0), (2, 0.0), (3, 0.0)],
FL_Test | INFO flwr 2024-04-22 18:30:30,985 | server.py:494 | 	 'Precision': [(1, 0.0), (2, 0.0), (3, 0.0)],
FL_Test | INFO flwr 2024-04-22 18:30:30,985 | server.py:494 | 	 'Recall': [(1, 0.0), (2, 0.0), (3, 0.0)]}History (metrics, distributed, evaluate):
FL_Test | INFO flwr 2024-04-22 18:30:30,986 | server.py:494 | 	{'Accuracy': [(1, 0.576923), (2, 0.576923), (3, 0.576923)],
FL_Test | INFO flwr 2024-04-22 18:30:30,986 | server.py:494 | 	 'F1_Score': [(1, 0.422139), (2, 0.422139), (3, 0.422139)],
FL_Test | INFO flwr 2024-04-22 18:30:30,986 | server.py:494 | 	 'Precision': [(1, 0.33284), (2, 0.33284), (3, 0.33284)],
FL_Test | INFO flwr 2024-04-22 18:30:30,986 | server.py:494 | 	 'Recall': [(1, 0.576923), (2, 0.576923), (3, 0.576923)]}
FL_Test | INFO flwr 2024-04-22 18:30:30,986 | server.py:495 | 
FL_Test | INFO flwr 2024-04-22 18:33:45,176 | app.py:150 | Starting Flower server, config: num_rounds=3, no round_timeout
FL_Test | INFO flwr 2024-04-22 18:33:45,185 | app.py:163 | Flower ECE: gRPC server running (3 rounds), SSL is disabled
FL_Test | INFO flwr 2024-04-22 18:33:45,185 | server.py:92 | [INIT]
FL_Test | INFO flwr 2024-04-22 18:33:45,185 | server.py:279 | Requesting initial parameters from one random client
FL_Test | INFO flwr 2024-04-22 18:33:50,707 | server.py:285 | Received initial parameters from one random client
FL_Test | INFO flwr 2024-04-22 18:33:50,708 | server.py:94 | Evaluating initial global parameters
FL_Test | INFO flwr 2024-04-22 18:33:50,708 | server.py:110 | 
FL_Test | INFO flwr 2024-04-22 18:33:50,708 | server.py:111 | [ROUND 1]
FL_Test | INFO flwr 2024-04-22 18:33:59,395 | server.py:224 | configure_fit: strategy sampled 3 clients (out of 3)
FL_Test | INFO flwr 2024-04-22 18:34:00,102 | server.py:238 | aggregate_fit: received 3 results and 0 failures
FL_Test | INFO flwr 2024-04-22 18:34:00,102 | server.py:176 | configure_evaluate: strategy sampled 3 clients (out of 3)
FL_Test | INFO flwr 2024-04-22 18:34:00,182 | server.py:190 | aggregate_evaluate: received 3 results and 0 failures
FL_Test | INFO flwr 2024-04-22 18:34:00,182 | server.py:110 | 
FL_Test | INFO flwr 2024-04-22 18:34:00,182 | server.py:111 | [ROUND 2]
FL_Test | INFO flwr 2024-04-22 18:34:00,183 | server.py:224 | configure_fit: strategy sampled 3 clients (out of 3)
FL_Test | INFO flwr 2024-04-22 18:34:00,785 | server.py:238 | aggregate_fit: received 3 results and 0 failures
FL_Test | INFO flwr 2024-04-22 18:34:00,786 | server.py:176 | configure_evaluate: strategy sampled 3 clients (out of 3)
FL_Test | INFO flwr 2024-04-22 18:34:00,867 | server.py:190 | aggregate_evaluate: received 3 results and 0 failures
